director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
David Raynr,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,Comedy Drama Romance,whatever it takes,James FrancoJodi Lyn O'KeefeMarla SokoloffComedy Drama Romance
Mort Nathan,Vivica A. Fox,Lin Shaye,Bob Gunton,Comedy,boat trip,Vivica A. FoxLin ShayeBob GuntonComedy
Oliver Parker,Colin Firth,Tom Wilkinson,Rupert Everett,Comedy Drama Romance,the importance of being earnest,Colin FirthTom WilkinsonRupert EverettComedy Drama Romance
Wil Shriner,Logan Lerman,Neil Flynn,Tim Blake Nelson,Adventure Comedy Family,hoot,Logan LermanNeil FlynnTim Blake NelsonAdventure Comedy Family
Martin McDonagh,Elizabeth Berrington,Anna Madeley,Eric Godon,Comedy Crime Drama,in bruges,Elizabeth BerringtonAnna MadeleyEric GodonComedy Crime Drama
Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,Comedy Romance,peeples,Tyler James WilliamsS. Epatha MerkersonDiahann CarrollComedy Romance
Peter Cattaneo,Emma Stone,Bradley Cooper,Josh Gad,Comedy Music,the rocker,Emma StoneBradley CooperJosh GadComedy Music
Vicky Jenson,J.K. Simmons,Zach Gilford,Bobby Coleman,Comedy Romance,post grad,J.K. SimmonsZach GilfordBobby ColemanComedy Romance
Gus Van Sant,Matt Damon,Hal Holbrook,Terry Kinney,Drama,promised land,Matt DamonHal HolbrookTerry KinneyDrama
Woody Allen,Larry David,Michael McKean,Conleth Hill,Comedy Romance,whatever works,Larry DavidMichael McKeanConleth HillComedy Romance
Mary Lambert,Matthew Settle,Susan Ward,A.J. Buckley,Drama Mystery Thriller,the in crowd,Matthew SettleSusan WardA.J. BuckleyDrama Mystery Thriller
Tommy Lee Jones,Levon Helm,Dwight Yoakam,Guillermo Arriaga,Adventure Crime Drama Mystery Western,three burials,Levon HelmDwight YoakamGuillermo ArriagaAdventure Crime Drama Mystery Western
Peter Kassovitz,Robin Williams,Mark Margolis,Michael Jeter,Drama War,jakob the liar,Robin WilliamsMark MargolisMichael JeterDrama War
Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller,Comedy Crime Mystery,kiss kiss bang bang,Robert Downey Jr.Corbin BernsenLarry MillerComedy Crime Mystery
Rodman Flender,Vivica A. Fox,Fred Willard,Elden Henson,Comedy Fantasy Horror Thriller,idle hands,Vivica A. FoxFred WillardElden HensonComedy Fantasy Horror Thriller
David Lynch,Naomi Watts,Robert Forster,Laura Harring,Drama Mystery Thriller,mulholland drive,Naomi WattsRobert ForsterLaura HarringDrama Mystery Thriller
Katja von Garnier,Olivier Martinez,Agnes Bruckner,Chris Geere,Drama Fantasy Horror Romance,blood and chocolate,Olivier MartinezAgnes BrucknerChris GeereDrama Fantasy Horror Romance
Woody Allen,Anthony Hopkins,Naomi Watts,Ewen Bremner,Comedy Drama Romance,you will meet a tall dark stranger,Anthony HopkinsNaomi WattsEwen BremnerComedy Drama Romance
Mark Romanek,Andrew Garfield,Charlie Rowe,Charlotte Rampling,Drama Romance Sci-Fi,never let me go,Andrew GarfieldCharlie RoweCharlotte RamplingDrama Romance Sci-Fi
unknown,Anna Silk,Tom Hollander,Alessandro Nivola,Drama History Thriller,the company            ,Anna SilkTom HollanderAlessandro NivolaDrama History Thriller
Brad Anderson,Thomas Kretschmann,Eduardo Noriega,Mac McDonald,Crime Drama Mystery Thriller,transsiberian,Thomas KretschmannEduardo NoriegaMac McDonaldCrime Drama Mystery Thriller
Michael Chapman,Curtis Armstrong,Pamela Reed,Mike Muscat,Adventure Drama Fantasy,the clan of the cave bear,Curtis ArmstrongPamela ReedMike MuscatAdventure Drama Fantasy
Antonio Banderas,Meat Loaf,Elizabeth Perkins,Noah Emmerich,Comedy Crime Drama,crazy in alabama,Meat LoafElizabeth PerkinsNoah EmmerichComedy Crime Drama
Michael Haneke,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet,Crime Drama Horror Thriller,funny games,Naomi WattsSiobhan Fallon HoganBrady CorbetCrime Drama Horror Thriller
Khalil Sullins,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,Drama Sci-Fi Thriller,listening,Thomas StroppelKalim ChandlerAmber Marie BollingerDrama Sci-Fi Thriller
Atom Egoyan,Bob Hoskins,Elaine Cassidy,Gerard McSorley,Drama Thriller,felicia's journey,Bob HoskinsElaine CassidyGerard McSorleyDrama Thriller
Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,Drama Sci-Fi,metropolis,Brigitte HelmGustav FröhlichRudolf Klein-RoggeDrama Sci-Fi
Pierre Morel,David Belle,Cyril Raffaelli,Dany Verissimo-Petit,Action Crime Thriller,district b13,David BelleCyril RaffaelliDany Verissimo-PetitAction Crime Thriller
Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams,Crime Drama,things to do in denver when you're dead,Steve BuscemiBill CobbsTreat WilliamsCrime Drama
Hsiao-Hsien Hou,Qi Shu,Chen Chang,Satoshi Tsumabuki,Action Drama,the assassin,Qi ShuChen ChangSatoshi TsumabukiAction Drama
Gregor Jordan,Dean Stockwell,Scott Glenn,Leon,Comedy Crime Drama Thriller War,buffalo soldiers,Dean StockwellScott GlennLeonComedy Crime Drama Thriller War
Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Drama Mystery Thriller,the return,Konstantin LavronenkoVladimir GarinNataliya VdovinaDrama Mystery Thriller
Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Action,ong-bak 2,Nirut SirichanyaPetchtai WongkamlaoSarunyu WongkrachangAction
Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno,Action Adventure Drama History Thriller War,centurion,Michael FassbenderJJ FeildDave LegenoAction Adventure Drama History Thriller War
Russell Mulcahy,Christopher Heyerdahl,Gina Bellman,Conrad Dunn,Action Drama Thriller,silent trigger,Christopher HeyerdahlGina BellmanConrad DunnAction Drama Thriller
Ryûhei Kitamura,Bradley Cooper,Brooke Shields,Leslie Bibb,Fantasy Horror Mystery,the midnight meat train,Bradley CooperBrooke ShieldsLeslie BibbFantasy Horror Mystery
Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo,Biography Drama History,winnie mandela,Jennifer HudsonWendy CrewsonAubrey PooBiography Drama History
Dito Montiel,Channing Tatum,Al Pacino,Tracy Morgan,Crime Drama Thriller,the son of no one,Channing TatumAl PacinoTracy MorganCrime Drama Thriller
Stefan Ruzowitzky,Eddie Izzard,Udo Kier,Edward Fox,Action Comedy Drama War,all the queen's men,Eddie IzzardUdo KierEdward FoxAction Comedy Drama War
Jake Paltrow,Stephen Graham,Gael Le Cornec,Keith Allen,Comedy Drama Fantasy Music Romance,the good night,Stephen GrahamGael Le CornecKeith AllenComedy Drama Fantasy Music Romance
Juraj Jakubisko,Anna Friel,Hans Matheson,Franco Nero,Biography Drama Fantasy History,bathory: countess of blood,Anna FrielHans MathesonFranco NeroBiography Drama Fantasy History
Anthony Silverston,Liam Neeson,Steve Buscemi,Loretta Devine,Adventure Animation Family,khumba,Liam NeesonSteve BuscemiLoretta DevineAdventure Animation Family
Gabe Ibáñez,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Action Sci-Fi Thriller,automata,Birgitte Hjort SørensenRobert ForsterMelanie GriffithAction Sci-Fi Thriller
Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,Action Adventure Fantasy,dungeons & dragons: wrath of the dragon god,Bruce PayneLucy GaskellSteven ElderAction Adventure Fantasy
Daniele Luchetti,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Biography,chiamatemi francesco - il papa della gente,Maximilian DirrRodrigo De la SernaFerdinando VetereBiography
Tung-Shing Yee,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Action Crime Drama Thriller,shinjuku incident,Bingbing FanDaniel WuYasuaki KurataAction Crime Drama Thriller
Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache,Biography Drama,pandaemonium,Samantha MortonDexter FletcherLinus RoacheBiography Drama
Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,Comedy Fantasy Romance,groundhog day,Bill MurrayChris ElliottWillie GarsonComedy Fantasy Romance
Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash,Comedy Drama Music,magic mike xxl,Matt BomerChanning TatumKevin NashComedy Drama Music
Baz Luhrmann,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Drama Romance,romeo + juliet,Leonardo DiCaprioHarold PerrineauBrian DennehyDrama Romance
Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Drama War,sarah's key,Kristin Scott ThomasAidan QuinnArben BajraktarajDrama War
Peter Cousens,Sharon Leal,David Rasche,Bart Shatto,Drama Family Music,freedom,Sharon LealDavid RascheBart ShattoDrama Family Music
Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,Drama Western,unforgiven,Clint EastwoodMorgan FreemanFrances FisherDrama Western
Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama,manderlay,Bryce Dallas HowardJeremy DaviesJean-Marc BarrDrama
Danny Boyle,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Drama Romance,slumdog millionaire,Anil KapoorSaurabh ShuklaAyush Mahesh KhedekarDrama Romance
Adrian Lyne,Fred Gwynne,Lois Smith,Anne Archer,Drama Romance Thriller,fatal attraction,Fred GwynneLois SmithAnne ArcherDrama Romance Thriller
Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander,Comedy Romance,pretty woman,Julia RobertsHector ElizondoJason AlexanderComedy Romance
John Blanchard,Martin Short,Andrea Martin,Joe Flaherty,Comedy,towering inferno            ,Martin ShortAndrea MartinJoe FlahertyComedy
John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy,crocodile dundee ii,Paul HoganLinda KozlowskiJohn MeillonAction Adventure Comedy
Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,broken horses,María ValverdeChris MarquetteChad BishopAction Crime Drama Mystery Thriller
Oliver Stone,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography Drama War,born on the fourth of july,Tom CruiseTom BerengerStephen BaldwinBiography Drama War
Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,Adventure Comedy Family Sport,cool runnings,Doug E. DougLeonMalik YobaAdventure Comedy Family Sport
Patrick Lussier,Jensen Ackles,Jaime King,Edi Gathegi,Horror Thriller,my bloody valentine,Jensen AcklesJaime KingEdi GathegiHorror Thriller
Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis,Horror Thriller,the possession,Kyra SedgwickMadison DavenportNatasha CalisHorror Thriller
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Action Adventure Drama,first blood,Sylvester StalloneBrian DennehyChris MulkeyAction Adventure Drama
Sylvain White,Chris Brown,Laz Alonso,Harry Lennix,Drama Music Romance,stomp the yard,Chris BrownLaz AlonsoHarry LennixDrama Music Romance
Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach,Action Adventure Sci-Fi Thriller,the spy who loved me,Caroline MunroDesmond LlewelynBarbara BachAction Adventure Sci-Fi Thriller
unknown,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,ghost hunters            ,Amy BruniSteve GonsalvesJason HawesDocumentary
Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,Horror Mystery Thriller,urban legend,Alicia WittLoretta DevineJulian RichingsHorror Mystery Thriller
Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,dangerous liaisons,Keanu ReevesPeter CapaldiSwoosie KurtzDrama Romance
Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Comedy Drama Romance,good deeds,Eddie CibrianPhylicia RashadJamie KennedyComedy Drama Romance
Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Adventure Drama,white fang,Seymour CasselKlaus Maria BrandauerSusan HoganAdventure Drama
Bruce McCulloch,Will Ferrell,Elaine Hendrix,Molly Shannon,Comedy Romance,superstar,Will FerrellElaine HendrixMolly ShannonComedy Romance
Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,Biography Drama History,the iron lady,Meryl StreepJim BroadbentOlivia ColmanBiography Drama History
Mike Nawrocki,Phil Vischer,Mike Nawrocki,Shelby Vischer,Adventure Animation Comedy Drama Family Musical,jonah: a veggietales movie,Phil VischerMike NawrockiShelby VischerAdventure Animation Comedy Drama Family Musical
John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,Drama Romance,poetic justice,Janet JacksonKhandi AlexanderMaya AngelouDrama Romance
Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano,Action Comedy Crime Thriller,all about the benjamins,Mike EppsRoger Guenveur SmithGino SalvanoAction Comedy Crime Thriller
Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,Comedy Fantasy Horror Romance,vampire in brooklyn,John WitherspoonW. Earl BrownAllen PayneComedy Fantasy Horror Romance
John Boorman,Linda Blair,Richard Burton,Ned Beatty,Horror,exorcist ii: the heretic,Linda BlairRichard BurtonNed BeattyHorror
Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Horror Mystery Thriller,an american haunting,Sissy SpacekJames D'ArcyVernon DobtcheffHorror Mystery Thriller
David Zucker,Carmen Electra,Tyler Labine,Molly Shannon,Comedy Romance,my boss's daughter,Carmen ElectraTyler LabineMolly ShannonComedy Romance
David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,Adventure Mystery Thriller,a perfect getaway,Chris HemsworthMilla JovovichMarley SheltonAdventure Mystery Thriller
Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,Comedy Romance,our family wedding,America FerreraLance GrossLupe OntiverosComedy Romance
Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Comedy,dead man on campus,Alyson HanniganLinda CardelliniPoppy MontgomeryComedy
Franco Zeffirelli,Lily Tomlin,Joan Plowright,Paolo Seganti,Comedy Drama War,tea with mussolini,Lily TomlinJoan PlowrightPaolo SegantiComedy Drama War
Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Fantasy Horror,thinner,Joe MantegnaBethany Joy LenzKari WuhrerFantasy Horror
Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place,Drama Music Musical Romance,"new york, new york",Robert De NiroLiza MinnelliMary Kay PlaceDrama Music Musical Romance
Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,Comedy Drama,crooklyn,Alfre WoodardDelroy LindoIsaiah WashingtonComedy Drama
Chris Rock,Steve Buscemi,Eliza Coupe,Wendell Pierce,Comedy Drama Romance,i think i love my wife,Steve BuscemiEliza CoupeWendell PierceComedy Drama Romance
James Isaac,Peter Mensah,Kane Hodder,Lexa Doig,Action Horror Sci-Fi Thriller,jason x,Peter MensahKane HodderLexa DoigAction Horror Sci-Fi Thriller
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,big fat liar,Frankie MunizDonald FaisonLee MajorsAdventure Comedy Family
Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama History,bobby,Anthony HopkinsNick CannonBrian GeraghtyDrama History
Mark Waters,Monica Potter,Ivana Milicevic,China Chow,Comedy Mystery Romance,head over heels,Monica PotterIvana MilicevicChina ChowComedy Mystery Romance
Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau,Adventure Comedy,fun size,Thomas McDonellJackson NicollOsric ChauAdventure Comedy
Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Biography Drama,the diving bell and the butterfly,Emmanuelle SeignerMathieu AmalricIsaach De BankoléBiography Drama
Todd Field,Kate Winslet,Noah Emmerich,Jane Adams,Drama Romance,little children,Kate WinsletNoah EmmerichJane AdamsDrama Romance
Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,Drama Mystery Thriller,gossip,Norman ReedusSharon LawrenceNoam JenkinsDrama Mystery Thriller
Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,a walk on the moon,Viggo MortensenJulie KavnerTovah FeldshuhDrama
Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna,Biography Drama History,catch a fire,Derek LukeTerry PhetoBonnie HennaBiography Drama History
Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Drama Horror Mystery Thriller,soul survivors,Melissa SagemillerAngela FeatherstoneCandace KroslakDrama Horror Mystery Thriller
James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,Biography Drama History Romance,jefferson in paris,Seth GilliamTodd BoyceNigel WhitmeyBiography Drama History Romance
Stephan Elliott,Colin Firth,Kristin Scott Thomas,Kris Marshall,Comedy Romance,easy virtue,Colin FirthKristin Scott ThomasKris MarshallComedy Romance
James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,Action Adventure History,caravans,Christopher LeeJoseph CottenBehrouz VossoughiAction Adventure History
Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson,Biography Drama History,mr. turner,Lesley ManvilleRuth SheenKarl JohnsonBiography Drama History
Alain Resnais,Mathieu Amalric,Sara Forestier,Edouard Baer,Drama Romance,wild grass,Mathieu AmalricSara ForestierEdouard BaerDrama Romance
Costa-Gavras,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Biography Crime Drama War,amen.,Sebastian KochMathieu KassovitzUlrich MüheBiography Crime Drama War
Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,Action,reign of assassins,Woo-sung JungShawn YueKelly LinAction
Neil Burger,John Heard,Katherine LaNasa,Mark L. Young,Comedy Drama War,the lucky ones,John HeardKatherine LaNasaMark L. YoungComedy Drama War
Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.,Drama,margaret,Matt DamonKieran CulkinJohn Gallagher Jr.Drama
Bo Zenga,Steve Howey,Kenan Thompson,Diora Baird,Comedy Horror,stan helsing,Steve HoweyKenan ThompsonDiora BairdComedy Horror
Rob Reiner,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Comedy Drama Romance,flipped,Madeline CarrollRebecca De MornayAidan QuinnComedy Drama Romance
Ang Lee,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Drama Romance,brokeback mountain,Jake GyllenhaalHeath LedgerAnne HathawayDrama Romance
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles,Noel FisherDanny WoodburnJeremy HowardAction Adventure Comedy Sci-Fi
Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,Comedy Romance,clueless,Donald FaisonDan HedayaElisa DonovanComedy Romance
Todd Haynes,Dennis Quaid,Celia Weston,Michael Gaston,Drama Romance,far from heaven,Dennis QuaidCelia WestonMichael GastonDrama Romance
Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe,Comedy Sci-Fi,hot tub time machine 2,Adam ScottGillian JacobsCollette WolfeComedy Sci-Fi
Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner,Biography Drama,quills,Kate WinsletStephen MarcusAmelia WarnerBiography Drama
Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Comedy Crime,seven psychopaths,Abbie CornishGabourey SidibeMichael StuhlbargComedy Crime
Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,Crime Drama Music Mystery Thriller,the caveman's valentine,Colm FeoreTamara TunieAunjanue EllisCrime Drama Music Mystery Thriller
unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,Action Crime Drama Thriller,the border            ,Jacek KomanMarian DziedzielJaroslaw BoberekAction Crime Drama Thriller
Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Biography Drama History War,downfall,Thomas KretschmannBruno GanzAlexandra Maria LaraBiography Drama History War
Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas,Biography Drama Romance,the sea inside,Belén RuedaLola DueñasTamar NovasBiography Drama Romance
Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,Drama Horror Sci-Fi Thriller,under the skin,Scarlett JohanssonPaul BranniganAlison ChandDrama Horror Sci-Fi Thriller
Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby,Biography Comedy Drama War,"good morning, vietnam",Robin WilliamsJ.T. WalshBruno KirbyBiography Comedy Drama War
Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,Comedy,the last godfather,Jason MewesStephanie DanielsonMichael RispoliComedy
Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,Documentary Music,justin bieber: never say never,Usher RaymondSean KingstonBoys II MenDocumentary Music
Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,Drama Thriller,black swan,Natalie PortmanMila KunisMark MargolisDrama Thriller
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,robocop,Gary OldmanAbbie CornishJennifer EhleAction Crime Sci-Fi Thriller
Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,Crime Drama,the godfather: part ii,Robert De NiroAl PacinoRobert DuvallCrime Drama
Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Drama Music Romance,save the last dance,Sean Patrick ThomasTerry KinneyFredro StarrDrama Music Romance
Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,Fantasy Horror Thriller,a nightmare on elm street 4: the dream master,Tuesday KnightRodney EastmanBrooke BundyFantasy Horror Thriller
Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,Drama,miracles from heaven,Jennifer GarnerBrighton SharbinoMartin HendersonDrama
Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Comedy Mystery,"dude, where's my car?",Jennifer GarnerMary Lynn RajskubMarla SokoloffComedy Mystery
Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,Action Crime Drama Thriller Western,young guns,Jack PalancePatrick WayneBrian KeithAction Crime Drama Thriller Western
Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey,Comedy Drama,st. vincent,Bill MurrayNaomi WattsReg E. CatheyComedy Drama
Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,Comedy Romance,about last night,Joe Lo TruglioRegina HallBryan CallenComedy Romance
Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Comedy Drama Romance,10 things i hate about you,Joseph Gordon-LevittHeath LedgerAndrew KeeganComedy Drama Romance
Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,Comedy,the new guy,Zooey DeschanelEddie GriffinGene SimmonsComedy
Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,Action Comedy Crime,loaded weapon 1,Jon LovitzLin ShayeBill NunnAction Comedy Crime
Jaume Collet-Serra,Óscar Jaenada,Brett Cullen,Sedona Legge,Drama Horror Thriller,the shallows,Óscar JaenadaBrett CullenSedona LeggeDrama Horror Thriller
Eric Bress,Logan Lerman,Eric Stoltz,Cameron Bright,Sci-Fi Thriller,the butterfly effect,Logan LermanEric StoltzCameron BrightSci-Fi Thriller
Chris Koch,Chris Elliott,Mark Webber,Jean Smart,Adventure Comedy Family,snow day,Chris ElliottMark WebberJean SmartAdventure Comedy Family
Preston A. Whitmore II,Mekhi Phifer,Chris Brown,Loretta Devine,Comedy Drama Romance,this christmas,Mekhi PhiferChris BrownLoretta DevineComedy Drama Romance
Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee,Comedy Crime Family Sci-Fi,baby geniuses,Kathleen TurnerDom DeLuiseRuby DeeComedy Crime Family Sci-Fi
Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Action Comedy Crime Thriller,the big hit,Bokeem WoodbineElliott GouldAntonio Sabato Jr.Action Comedy Crime Thriller
Bronwen Hughes,Gregory Smith,Eartha Kitt,Charlotte Sullivan,Comedy Drama Family,harriet the spy,Gregory SmithEartha KittCharlotte SullivanComedy Drama Family
John Lafia,Jenny Agutter,Beth Grant,Greg Germann,Fantasy Horror,child's play 2,Jenny AgutterBeth GrantGreg GermannFantasy Horror
Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons,Crime Thriller,no good deed,Leslie BibbKate del CastilloHenry SimmonsCrime Thriller
Frank Darabont,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Horror,the mist,Toby JonesAlexa DavalosJeffrey DeMunnHorror
Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,Drama Mystery Sci-Fi Thriller,ex machina,Elina AlminasSonoya MizunoCorey JohnsonDrama Mystery Sci-Fi Thriller
Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place,Comedy Drama Fantasy,being john malkovich,Willie GarsonOrson BeanMary Kay PlaceComedy Drama Fantasy
Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones,Comedy Romance,two can play that game,Mo'NiqueVivica A. FoxTamala JonesComedy Romance
Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Adventure Family Sci-Fi,earth to echo,Teo HalmElla WahlestedtJason Gray-StanfordAdventure Family Sci-Fi
John Stockwell,Kirsten Dunst,Jay Hernandez,Rolando Molina,Drama Romance,crazy/beautiful,Kirsten DunstJay HernandezRolando MolinaDrama Romance
Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Drama History War,letters from iwo jima,Yuki MatsuzakiKazunari NinomiyaShidô NakamuraDrama History War
Michael Polish,J.K. Simmons,Virginia Madsen,Bruce Dern,Adventure Drama Sci-Fi,the astronaut farmer,J.K. SimmonsVirginia MadsenBruce DernAdventure Drama Sci-Fi
Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle,Comedy Romance,woo,LL Cool JJada Pinkett SmithDave ChappelleComedy Romance
Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar,Drama,room,Joan AllenJacob TremblayCas AnvarDrama
Bob Saget,Don Rickles,Jack Warden,Traylor Howard,Comedy,dirty work,Don RicklesJack WardenTraylor HowardComedy
John Waters,Kathleen Turner,Sam Waterston,Traci Lords,Comedy Crime Thriller,serial mom,Kathleen TurnerSam WaterstonTraci LordsComedy Crime Thriller
Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Comedy,dick,Ryan ReynoldsWill FerrellKirsten DunstComedy
Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,Action Crime Mystery Thriller,del 1 - män som hatar kvinnor            ,Michael NyqvistDavid DencikLena EndreAction Crime Mystery Thriller
Craig Bolotin,Rosario Dawson,Vanessa Williams,Robert Ri'chard,Drama Thriller,light it up,Rosario DawsonVanessa WilliamsRobert Ri'chardDrama Thriller
Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,Drama Music,54,Salma HayekEllen Albertini DowSela WardDrama Music
Blair Hayes,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Adventure Comedy Romance Sci-Fi,bubble boy,Jake GyllenhaalGeoffrey ArendMarley SheltonAdventure Comedy Romance Sci-Fi
Jez Butterworth,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Comedy Crime Thriller,birthday girl,Mark GatissMathieu KassovitzBen ChaplinComedy Crime Thriller
Jon Lucas,Justin Chon,Josie Loren,Sarah Wright,Comedy,21 & over,Justin ChonJosie LorenSarah WrightComedy
